rm;pausada;data_pausa
18995;1;2018-03-12 10:02:41
19007;1;2018-01-03 12:02:38
19007;0;2018-01-03 14:34:18
19014;1;2018-04-03 13:56:14
19020;1;2018-01-05 16:19:12
19020;0;2018-01-08 11:31:05
19072;1;2018-01-08 11:22:35
19168;1;2018-03-28 16:57:16
19208;1;2018-04-03 13:58:37
19238;1;2018-03-28 16:54:34
19265;1;2018-01-25 10:49:40
19265;0;2018-01-26 08:52:08
19298;1;2018-02-02 16:08:35
19298;0;2018-02-15 17:01:09
19298;1;2018-04-12 09:22:10
19322;1;2018-01-26 16:21:33
19322;0;2018-01-30 10:09:23
19338;1;2018-04-02 13:15:47
19364;1;2018-01-30 10:17:03
19364;0;2018-04-16 14:33:34
19409;1;2018-02-07 15:56:53
19409;0;2018-02-19 15:05:36
19450;1;2018-04-05 09:37:39
19463;1;2018-02-20 15:13:56
19472;1;2018-02-15 13:11:25
19472;0;2018-02-20 09:38:53
19503;1;2018-04-11 16:08:40
19524;1;2018-02-26 11:15:03
19537;1;2018-02-22 15:28:53
19537;0;2018-02-23 14:06:20
19537;1;2018-02-27 14:58:31
19537;0;2018-03-08 16:35:39
19569;1;2018-02-26 11:23:49
19571;1;2018-02-26 11:23:59
19573;1;2018-03-13 10:08:16
19573;0;2018-03-21 11:57:31
19573;1;2018-03-23 16:39:17
19573;0;2018-04-06 08:39:23
19573;1;2018-04-10 08:12:11
19573;0;2018-04-17 09:36:52
19575;1;2018-03-28 09:57:25
19592;1;2018-04-06 08:38:28
19597;1;2018-02-23 13:51:51
19639;1;2018-03-01 14:51:13
19641;1;2018-03-01 13:54:11
19641;0;2018-03-08 15:17:19
19721;1;2018-04-03 10:19:39
19736;1;2018-05-04 09:24:54
19753;1;2018-04-04 11:43:15
19844;1;2018-04-10 09:36:45
19844;0;2018-04-11 14:43:33
19913;1;2018-03-20 09:42:03
19913;0;2018-03-20 09:46:06
19932;1;2018-04-10 15:58:02
19932;0;2018-04-10 16:47:25
19947;1;2018-04-04 09:00:27
19947;0;2018-04-16 14:09:47
20020;1;2018-04-30 15:48:49
20043;1;2018-04-11 10:17:05
20048;1;2018-04-04 09:01:18
20155;1;2018-04-20 14:56:58
20155;0;2018-04-23 10:31:45
20219;1;2018-04-20 11:07:03
20251;1;2018-04-23 16:58:20
20293;1;2018-05-11 15:56:11
20348;1;2018-05-07 15:29:04
20348;0;2018-05-07 16:22:07
20438;1;2018-05-09 16:50:17
20438;0;2018-05-10 09:03:13
