rm;sprint;data_sprint
16520;201712-02;2018-01-02 00:00:00
16520;201801-01;2018-01-02 16:12:30
16520;201802-01;2018-01-15 13:33:10
16520;201802-02;2018-02-19 16:36:13
16520;201803-01;2018-03-07 12:02:39
16520;201803-02;2018-03-20 17:02:54
16520;201804-01;2018-04-02 11:31:42
16520;201804-02;2018-04-16 11:40:33
16520;201805-01;2018-05-02 10:17:42
16593;201801-01;2018-01-15 16:48:17
16593;201801-02;2018-01-16 11:40:04
16593;201802-01;2018-01-30 10:10:18
16593;201802-02;2018-02-19 16:36:15
16603;201804-01;2018-04-02 11:51:05
16603;201804-02;2018-04-16 11:40:34
16603;201805-01;2018-05-02 10:17:43
16616;201712-02;2018-01-02 00:00:00
16616;201801-01;2018-01-02 15:26:19
16616;201801-02;2018-01-16 11:37:49
16616;201802-01;2018-01-30 09:52:25
16616;201802-02;2018-02-19 16:33:58
16616;201803-01;2018-03-08 08:55:21
16657;201712-02;2018-01-02 00:00:00
16657;201801-01;2018-01-02 15:26:20
16657;201802-01;2018-01-15 13:26:54
16657;201802-02;2018-01-29 13:02:45
16657;201803-01;2018-03-08 08:55:22
16657;201803-02;2018-03-20 17:01:18
16657;201804-02;2018-04-02 13:08:52
16657;201805-01;2018-05-02 10:09:50
16662;201804-01;2018-04-02 11:52:28
16662;201804-02;2018-04-16 11:40:37
16662;201805-01;2018-05-02 10:17:46
16748;201712-02;2018-01-02 00:00:00
16748;201801-01;2018-01-02 15:26:21
16748;201801-02;2018-01-16 11:37:51
16759;;2018-01-02 00:00:00
16790;201712-02;2018-01-02 00:00:00
16790;201801-01;2018-01-02 16:12:31
16826;201804-01;2018-04-02 11:50:31
16826;201804-02;2018-04-16 11:40:36
16826;201805-01;2018-05-02 10:17:44
16852;201712-02;2018-01-02 00:00:00
16852;201801-01;2018-01-02 15:26:22
16974;201712-02;2018-01-02 00:00:00
16974;201801-01;2018-01-02 16:12:32
17002;;2018-01-02 00:00:00
17069;201712-02;2018-01-02 00:00:00
17069;201801-01;2018-01-02 15:12:43
17069;201801-02;2018-01-16 11:37:53
17069;201802-01;2018-01-30 09:52:27
17076;201805-02;2018-05-11 15:50:36
17096;201712-02;2018-01-02 00:00:00
17096;201801-01;2018-01-02 15:27:52
17096;201801-02;2018-01-16 11:38:41
17096;201802-02;2018-01-30 09:34:29
17096;201803-01;2018-03-08 08:55:23
17096;201803-02;2018-03-20 17:02:10
17096;201804-01;2018-04-03 09:12:51
17096;201804-02;2018-04-16 16:03:47
17096;201805-01;2018-05-02 10:09:51
17106;201802-02;2018-02-20 13:54:53
17141;201712-02;2018-01-02 00:00:00
17141;201801-01;2018-01-02 16:12:33
17141;201801-02;2018-01-16 11:40:06
17141;201802-01;2018-01-30 10:10:20
17141;201802-02;2018-02-19 16:36:16
17237;201712-01;2018-01-02 00:00:00
17237;201801-02;2018-01-15 11:37:49
17237;201802-01;2018-01-29 10:24:14
17237;201802-02;2018-02-19 13:36:07
17237;201803-03;2018-03-07 10:54:21
17237;201803-01;2018-03-07 10:58:37
17237;201803-02;2018-03-19 11:05:55
17237;201804-01;2018-04-02 10:09:03
17237;201804-02;2018-04-16 10:40:32
17237;201805-01;2018-05-02 09:36:58
17248;201803-01;2018-03-05 14:18:43
17274;201708-03;2018-01-02 00:00:00
17275;201708-03;2018-01-02 00:00:00
17304;201712-02;2018-01-02 00:00:00
17304;201801-01;2018-01-02 15:27:53
17304;201801-02;2018-01-16 11:37:55
17304;201802-02;2018-01-30 09:33:05
17304;201803-01;2018-03-08 08:55:25
17304;201803-02;2018-03-20 17:02:12
17304;201804-01;2018-04-03 09:12:54
17304;201804-02;2018-04-16 16:03:48
17304;201805-01;2018-05-02 10:09:54
17349;201710-02;2018-01-02 00:00:00
17359;201712-02;2018-01-02 00:00:00
17359;201801-01;2018-01-02 11:12:21
17359;201801-02;2018-01-16 11:29:41
17359;201802-01;2018-01-30 09:47:30
17359;201802-02;2018-02-19 16:31:07
17359;201803-01;2018-03-07 16:58:25
17359;201803-02;2018-03-15 14:19:31
17359;201804-01;2018-04-03 13:38:38
17359;201804-02;2018-04-16 16:18:02
17359;201804-01;2018-04-17 19:28:02
17359;201804-02;2018-04-18 13:59:33
17359;201805-01;2018-05-02 09:52:24
17404;201712-02;2018-01-02 00:00:00
17404;201801-01;2018-01-02 16:12:34
17404;201802-01;2018-01-15 13:33:12
17404;201802-02;2018-02-19 16:36:17
17428;201802-01;2018-01-29 11:15:25
17428;201802-02;2018-02-19 13:36:14
17428;201803-03;2018-03-07 10:54:27
17428;201803-01;2018-03-07 10:58:43
17428;201803-02;2018-03-19 11:06:01
17428;201804-01;2018-04-02 10:09:09
17428;201804-02;2018-04-16 10:40:38
17428;201805-01;2018-05-02 09:37:04
17439;201712-02;2018-01-02 00:00:00
17439;201801-01;2018-01-02 15:26:23
17524;201712-02;2018-01-02 00:00:00
17524;201801-01;2018-01-02 16:12:35
17524;201803-01;2018-01-10 09:30:35
17524;201803-02;2018-03-20 17:02:55
17524;201804-01;2018-04-02 11:31:43
17524;201804-02;2018-04-16 11:40:39
17524;201805-01;2018-05-02 10:17:47
17536;201801-02;2018-01-03 16:48:23
17536;201802-02;2018-01-29 15:49:52
17536;201803-01;2018-02-19 14:57:45
17536;201803-02;2018-03-07 11:28:27
17536;201804-01;2018-03-16 09:04:06
17536;201804-02;2018-04-16 16:18:04
17536;201805-01;2018-05-02 09:52:26
17657;201802-01;2018-01-29 08:51:28
17674;201801-02;2018-01-16 11:40:08
17674;201802-01;2018-01-30 10:10:23
17674;201802-02;2018-02-19 16:36:19
17674;201803-01;2018-03-07 11:46:09
17674;201803-02;2018-03-20 17:02:56
17674;201804-01;2018-04-02 11:31:44
17674;201804-02;2018-04-16 11:40:40
17674;201805-01;2018-05-02 10:17:50
17675;201801-02;2018-01-16 11:40:09
17675;201802-01;2018-01-30 10:10:24
17675;201802-02;2018-02-19 16:36:20
17675;201803-01;2018-03-07 11:46:10
17675;201803-02;2018-03-20 17:02:57
17675;201804-01;2018-04-02 11:31:45
17675;201804-02;2018-04-16 11:40:41
