rm;sprint;data_sprint
18468;201712-02;2018-01-02 00:00:00
18468;201801-01;2018-01-02 11:12:30
18468;201801-02;2018-01-16 11:29:54
18468;201802-01;2018-01-30 09:47:43
18468;201802-02;2018-02-19 16:31:10
18468;201803-01;2018-03-07 16:58:45
18468;201803-02;2018-03-20 16:50:40
18468;201804-01;2018-04-03 13:38:55
18469;201712-02;2018-01-02 00:00:00
18469;201801-01;2018-01-02 11:12:31
18469;201801-02;2018-01-16 11:29:55
18469;201802-01;2018-01-30 09:47:45
18469;201802-02;2018-02-19 16:31:12
18469;201803-01;2018-03-07 16:58:46
18469;201803-02;2018-03-20 16:50:41
18469;201804-01;2018-04-03 13:38:57
18473;201802-01;2018-02-15 13:50:36
18473;201802-02;2018-02-19 11:13:09
18474;;2018-01-02 11:53:22
18491;201805-01;2018-04-30 14:14:12
18507;201712-02;2018-01-02 00:00:00
18507;201801-01;2018-01-02 15:26:17
18507;201801-02;2018-01-16 11:37:47
18507;201802-01;2018-01-30 09:52:23
18507;201802-02;2018-02-19 16:33:02
18507;201803-01;2018-03-08 08:55:19
18507;201803-02;2018-03-20 17:01:17
18507;201804-01;2018-04-03 09:11:48
18507;201804-02;2018-04-16 16:03:45
18507;201805-01;2018-05-02 10:09:49
18513;201712-02;2018-01-02 00:00:00
18518;201712-02;2018-01-02 00:00:00
18518;201801-01;2018-01-02 11:40:41
18519;201712-02;2018-01-02 00:00:00
18519;201801-01;2018-01-02 15:26:29
18519;201801-02;2018-01-16 11:38:01
18519;201802-01;2018-01-30 09:52:34
18520;201802-01;2018-01-26 11:39:01
18520;201802-02;2018-02-19 16:33:05
18520;201803-02;2018-03-05 09:33:17
18520;201804-01;2018-03-16 15:40:29
18520;201804-02;2018-04-02 13:49:44
18520;201805-01;2018-05-02 10:10:04
18524;201802-01;2018-01-26 11:40:21
18524;201802-02;2018-02-19 16:34:44
18524;201803-01;2018-03-08 08:55:34
18533;201712-02;2018-01-02 00:00:00
18533;201801-01;2018-01-02 11:38:45
18533;201801-02;2018-01-15 16:30:31
18533;201802-01;2018-01-29 15:53:02
18533;201802-02;2018-02-19 14:13:36
18533;201803-01;2018-03-07 16:58:48
18533;201803-02;2018-03-20 16:48:24
18533;201804-01;2018-04-03 13:38:59
18533;201804-02;2018-04-16 16:18:17
18533;201805-01;2018-05-02 09:52:32
18544;201803-02;2018-03-19 11:12:34
18544;201804-01;2018-04-02 10:09:11
18544;201804-02;2018-04-16 10:40:40
18544;;2018-05-02 09:38:34
18557;201802-01;2018-01-29 11:03:14
18561;201802-02;2018-03-01 10:54:24
18568;201802-02;2018-02-26 07:51:29
18568;201803-01;2018-03-07 11:46:19
18571;201712-02;2018-01-02 00:00:00
18571;201801-01;2018-01-02 11:12:32
18571;201801-02;2018-01-16 11:29:57
18571;201802-01;2018-01-30 09:47:46
18571;201802-02;2018-02-19 16:27:30
18571;201803-01;2018-03-07 16:58:49
18598;201712-01;2018-02-20 15:14:34
18599;201712-02;2018-01-02 00:00:00
18599;201801-01;2018-01-02 15:26:30
18599;201801-02;2018-01-16 11:38:03
18599;201802-01;2018-01-30 09:52:36
18599;201802-02;2018-02-19 16:34:45
18599;201803-01;2018-03-05 17:05:23
18599;201803-02;2018-03-20 17:01:26
18599;201804-01;2018-04-03 09:11:54
18599;201804-02;2018-04-16 16:03:56
18599;201805-01;2018-05-02 10:10:06
18603;201712-02;2018-01-02 00:00:00
18611;201802-01;2018-01-29 11:02:36
18611;201802-02;2018-02-19 11:09:52
18611;201803-02;2018-03-01 17:52:28
18612;201801-01;2018-01-02 00:00:00
18612;201801-02;2018-01-15 10:29:24
18612;201802-01;2018-01-30 09:47:48
18641;201802-01;2018-01-29 14:59:00
18641;201802-02;2018-02-19 16:30:13
18641;201803-01;2018-03-07 16:58:51
18641;201803-02;2018-03-20 10:42:37
18641;201804-01;2018-04-03 13:39:01
18641;201804-02;2018-04-16 16:18:19
18641;201805-01;2018-05-02 09:52:33
18660;201803-01;2018-02-27 11:07:45
18660;201803-02;2018-03-20 11:32:02
18660;201804-01;2018-04-02 11:33:04
18665;201801-01;2018-01-02 00:00:00
18665;201801-02;2018-01-15 10:28:52
18665;201802-01;2018-01-30 09:48:59
18666;201801-02;2018-01-17 12:39:33
18666;201802-01;2018-01-29 10:31:13
18666;201802-02;2018-02-19 13:36:17
18666;201803-03;2018-03-07 10:54:31
18666;201803-01;2018-03-07 10:58:47
18666;201803-02;2018-04-02 09:44:55
18666;201804-01;2018-04-02 10:09:12
18666;201804-02;2018-04-16 10:40:41
18666;201805-01;2018-05-02 09:37:06
18669;2018-01;2018-01-09 13:59:22
18672;201801-01;2018-01-02 16:12:46
18672;201801-02;2018-01-16 11:40:24
18673;201712-01;2018-01-02 00:00:00
18682;201801-01;2018-01-02 11:46:15
18687;201712-02;2018-01-02 00:00:00
18687;201801-01;2018-01-03 07:41:48
18699;201802-01;2018-01-29 11:01:21
18699;201802-02;2018-02-19 13:36:18
18699;201803-03;2018-03-07 10:54:32
18699;201803-01;2018-03-07 10:58:49
18699;201803-02;2018-03-16 16:25:36
18699;201804-01;2018-04-02 10:09:13
18699;201804-02;2018-04-16 10:40:42
18699;201805-01;2018-05-02 09:37:07
18716;201802-01;2018-01-15 16:45:37
18716;201802-02;2018-01-29 11:09:08
18716;201803-01;2018-03-07 16:58:52
18716;201803-02;2018-03-20 16:45:26
18716;201804-01;2018-04-03 13:39:02
18716;201804-02;2018-04-16 16:18:20
18716;201805-01;2018-05-02 09:52:35
18724;201801-02;2018-01-19 13:12:49
18724;201802-01;2018-01-30 09:47:50
18724;201802-02;2018-02-19 16:31:13
18724;201803-01;2018-03-07 16:58:54
18724;201803-02;2018-03-20 16:50:42
18724;201804-01;2018-04-03 09:11:56
18724;201804-02;2018-04-16 16:03:58
18724;201805-01;2018-05-02 09:52:36
18727;201712-02;2018-01-02 00:00:00
18727;201801-01;2018-01-02 15:27:54
18734;201712-02;2018-01-02 00:00:00
18734;201801-01;2018-01-02 11:46:16
18739;201801-01;2018-01-02 13:46:10
18739;201801-02;2018-01-16 11:38:05
18739;201802-01;2018-01-30 09:52:38
18739;201802-02;2018-02-19 16:33:06
18770;201804-01;2018-04-04 11:00:47
18784;201712-02;2018-01-02 00:00:00
18784;201801-01;2018-01-02 10:08:09
18791;201712-02;2018-01-02 00:00:00
18791;201801-01;2018-01-02 11:46:17
18791;201801-02;2018-01-16 08:19:59
18791;201802-01;2018-01-30 09:49:01
18791;201802-02;2018-02-19 16:31:15
18795;201802-02;2018-02-23 14:16:00
18803;201801-02;2018-01-16 10:31:07
18804;201712-02;2018-01-02 00:00:00
18804;201801-01;2018-01-02 15:27:55
18809;201803-01;2018-03-05 09:30:09
18809;201803-02;2018-03-20 17:01:27
18809;201804-01;2018-04-03 09:11:57
18809;201804-02;2018-04-16 16:03:59
18809;201805-01;2018-05-02 10:10:09
18810;201801-01;2018-01-09 14:51:50
18810;201801-02;2018-01-16 11:29:59
18810;201802-01;2018-01-30 09:47:51
18810;201802-02;2018-02-19 16:27:32
18811;201802-1;2018-01-30 09:03:22
18812;201801-01;2018-01-02 10:13:53
18812;201801-02;2018-01-15 16:56:26
18812;201802-01;2018-01-30 09:47:53
18812;201802-02;2018-02-19 16:31:17
18813;201801-01;2018-01-02 10:08:10
18813;201801-02;2018-01-15 11:50:51
18813;201802-01;2018-01-29 10:26:53
18813;201802-02;2018-02-19 13:36:19
18819;201802-01;2018-01-17 14:07:41
18819;201802-02;2018-02-16 09:42:40
18819;201803-01;2018-03-07 16:58:55
18819;201803-02;2018-03-20 16:50:44
18819;201804-01;2018-04-03 13:39:04
18819;201804-02;2018-04-16 16:18:21
18821;201712-02;2018-01-02 00:00:00
18821;201801-01;2018-01-02 11:38:46
18822;;2018-01-16 09:22:48
18825;201801-02;2018-01-25 09:07:20
18831;201802-01;2018-02-16 15:48:13
18831;201802-02;2018-02-19 16:38:39
18841;201712-02;2018-02-06 14:49:55
18841;201712-01;2018-02-06 14:50:20
18844;201801-01;2018-01-05 11:43:34
18844;201802-01;2018-01-15 16:49:12
18844;201802-02;2018-01-29 11:02:15
18844;201803-01;2018-02-19 14:57:53
18844;201803-02;2018-03-07 11:28:34
18844;201804-01;2018-03-16 09:04:15
18844;201804-02;2018-04-16 16:18:22
18844;;2018-05-02 09:43:18
18852;201801-01;2018-01-02 16:12:48
18852;201801-02;2018-01-16 11:40:26
18852;201802-01;2018-01-30 10:10:38
18852;201802-02;2018-02-19 16:36:26
18860;201802-02;2018-02-02 08:40:11
18860;201803-01;2018-03-07 16:58:57
18868;201801-02;2018-01-03 17:04:53
18868;201801-01;2018-01-03 17:05:53
18868;201801-02;2018-01-16 11:40:28
18868;201802-01;2018-01-30 10:10:40
18868;201802-02;2018-02-19 16:37:08
18868;201803-01;2018-03-07 12:02:40
18868;201803-02;2018-03-20 17:03:05
18868;201804-01;2018-04-02 11:33:05
18871;201801-01;2018-01-03 17:04:14
18871;201801-02;2018-01-16 11:40:30
18871;201802-01;2018-01-30 10:11:03
18871;201802-02;2018-02-19 16:37:10
18871;201803-01;2018-03-07 12:02:42
18871;201803-02;2018-03-20 17:03:07
18871;201804-01;2018-04-02 11:33:07
18880;2018-01;2018-01-02 00:00:00
18886;201801-02;2018-01-15 10:30:02
18886;201802-01;2018-01-30 09:47:38
18886;201802-02;2018-02-19 16:30:11
18886;201803-01;2018-03-07 16:58:39
18886;201803-02;2018-03-20 16:50:39
18886;201804-01;2018-04-03 13:38:50
18886;201804-02;2018-04-16 16:18:13
18893;201804-01;2018-03-19 16:12:22
18893;201805-01;2018-04-12 12:32:20
18911;201801-01;2018-01-02 00:00:00
18911;201801-02;2018-01-15 16:43:17
18911;201802-01;2018-01-29 15:53:03
18911;201802-02;2018-02-19 14:14:53
18911;201803-01;2018-03-07 16:58:58
18911;;2018-03-19 15:43:02
18915;;2018-01-02 11:53:25
18916;201801-02;2018-01-15 16:32:56
18916;201802-01;2018-01-29 15:53:04
18916;201802-02;2018-02-19 14:12:15
18916;201803-01;2018-03-07 16:59:00
18916;201803-02;2018-03-20 16:45:27
18916;201804-01;2018-04-03 13:39:05
18916;201804-02;2018-04-16 16:18:24
18916;201805-01;2018-05-02 09:52:38
18917;;2018-01-02 11:53:26
18920;201801-01;2018-01-02 00:00:00
18924;201801-01;2018-01-02 14:53:10
18924;201801-02;2018-01-15 11:50:52
18936;201801-02;2018-01-02 14:54:36
18936;201802-01;2018-01-15 11:49:02
18937;201801-01;2018-01-02 14:55:17
18937;201801-02;2018-01-15 11:50:53
18941;201801-02;2018-01-15 16:48:43
18941;201802-01;2018-01-29 15:53:05
18941;201802-02;2018-01-30 13:44:25
18941;201803-01;2018-02-19 14:57:54
18941;201802-02;2018-02-26 11:22:01
18941;201803-01;2018-03-07 16:59:01
18942;201712-02;2018-01-02 00:00:00
18942;201801-01;2018-01-02 11:12:34
18942;201801-02;2018-01-16 11:30:39
18942;201802-01;2018-01-30 09:49:03
18942;201802-02;2018-02-19 16:31:19
18944;201801-01;2018-01-02 14:55:40
18944;201801-02;2018-01-15 11:50:54
18957;201712-02;2018-01-02 08:43:49
18957;201801-01;2018-01-02 08:45:02
18962;201802-02;2018-02-19 10:58:43
18965;201801-01;2018-01-02 15:16:07
18970;201801-02;2018-01-16 11:29:33
18971;201801-02;2018-01-16 11:29:34
18973;201801-02;2018-01-16 11:29:36
18974;201801-02;2018-01-16 11:29:37
18975;201801-02;2018-01-16 11:29:38
18976;201801-02;2018-01-16 11:29:40
18979;201802-01;2018-01-29 12:34:58
18979;201802-02;2018-02-19 14:18:00
18979;;2018-03-07 16:32:24
18980;201802-01;2018-01-29 12:39:32
18980;201802-02;2018-02-19 14:18:07
18980;;2018-03-07 16:32:30
18988;201801-01;2018-01-03 10:15:10
18991;201801-01;2018-01-03 11:12:25
18991;201801-02;2018-01-15 15:03:29
18991;201802-01;2018-01-30 09:47:55
18991;201802-02;2018-02-19 16:30:14
18991;201803-01;2018-03-07 16:59:02
18991;201803-02;2018-03-20 16:49:44
18991;201804-01;2018-04-03 13:39:07
18991;201804-02;2018-04-16 16:18:25
18995;201803-01;2018-03-05 09:10:35
18995;201803-02;2018-03-20 17:01:28
18995;201804-01;2018-04-03 09:11:58
18996;201801-01;2018-01-03 10:17:33
18998;201801-01;2018-01-03 09:26:34
18998;201801-02;2018-01-16 11:38:07
18998;201802-01;2018-01-30 09:52:40
18998;201802-02;2018-02-19 16:34:47
18999;201802-01;2018-01-29 14:58:13
19010;201802-01;2018-01-26 11:36:48
19010;201802-02;2018-02-19 16:33:08
19010;201803-01;2018-03-08 08:55:36
19010;201803-02;2018-03-20 17:01:30
19010;201804-01;2018-04-03 09:11:59
19010;201804-02;2018-04-16 16:04:00
19010;201805-01;2018-04-17 13:57:45
19014;201803-01;2018-02-20 10:17:45
19014;201803-02;2018-03-07 11:28:35
19014;201804-01;2018-03-16 09:04:16
19014;201804-02;2018-04-16 16:18:26
19014;201805-01;2018-05-02 09:52:40
19016;201801-02;2018-01-10 10:31:03
19016;201802-01;2018-01-30 09:47:57
19016;201802-02;2018-02-19 16:31:21
19016;201803-01;2018-03-07 16:59:04
19016;201803-02;2018-03-20 16:50:45
19016;201804-01;2018-04-03 09:38:23
19016;201804-02;2018-04-16 16:18:28
19016;201805-01;2018-05-02 09:52:41
19027;201802-01;2018-01-30 16:00:38
19028;201801-02;2018-01-04 10:34:03
19028;201802-01;2018-01-15 10:40:30
19038;201802-01;2018-01-29 10:19:48
19041;201801-02;2018-01-15 10:30:38
19041;201802-01;2018-01-25 15:43:18
19041;201802-02;2018-02-16 09:42:42
19041;201803-02;2018-03-02 16:38:08
19041;201804-01;2018-03-19 13:24:40
19041;201804-02;2018-04-16 16:18:29
19044;201801-01;2018-01-05 11:21:49
19044;201801-02;2018-01-16 11:40:32
19044;201802-01;2018-01-30 10:11:05
19058;201801-02;2018-01-26 10:30:47
19058;201802-01;2018-01-30 09:49:05
19061;201801-01;2018-01-05 15:54:26
19064;201801-02;2018-01-05 15:53:59
19064;201802-02;2018-01-29 15:49:53
19064;201803-02;2018-03-05 10:18:01
19064;201804-01;2018-04-03 13:39:08
19064;201804-02;2018-04-16 16:18:30
19064;;2018-05-02 09:43:24
19068;201801-02;2018-01-05 15:54:05
19068;201802-02;2018-01-29 15:49:54
19068;201803-02;2018-03-05 10:21:00
19068;201804-01;2018-04-03 13:39:10
19068;201804-02;2018-04-16 16:18:31
19068;;2018-05-02 09:43:25
19079;201801-01;2018-01-08 14:13:13
19079;201801-02;2018-01-16 08:20:00
19079;201802-01;2018-01-30 09:49:07
19079;201802-02;2018-02-16 09:41:17
19079;201803-01;2018-03-07 16:59:05
19079;201803-02;2018-03-20 16:50:45
19080;201802-01;2018-01-25 15:43:19
19080;201802-02;2018-02-16 09:42:43
19080;201803-02;2018-02-28 10:24:16
19080;201804-01;2018-03-19 13:24:47
19080;;2018-04-02 14:08:48
19081;;2018-01-25 15:42:20
19083;201801-01;2018-01-08 15:34:54
19085;201804-01;2018-04-02 11:43:04
19085;201804-02;2018-04-16 11:40:46
19085;201805-01;2018-05-02 10:18:01
19094;201802-01;2018-01-30 14:01:05
19094;201802-02;2018-02-19 16:36:28
19098;201802-01;2018-01-09 14:05:50
19100;201801-01;2018-01-09 15:17:02
19103;201801-02;2018-01-09 15:15:05
19105;2018-01;2018-01-09 14:36:01
19109;201802-02;2018-02-28 10:59:26
19109;201803-01;2018-03-07 16:59:07
19109;201803-02;2018-03-20 16:49:45
19109;201804-01;2018-04-03 13:39:12
19116;201802-01;2018-01-30 09:49:09
19116;201802-02;2018-02-16 09:42:44
19116;201803-01;2018-03-07 16:59:08
19116;201803-02;2018-03-20 16:50:47
19116;201804-01;2018-04-03 13:39:13
19116;201804-02;2018-04-16 16:18:33
19116;201805-01;2018-04-30 16:20:12
19117;201801-01;2018-01-11 11:20:55
19119;201801-01;2018-01-10 15:24:35
19121;201801-01;2018-01-10 14:18:05
19121;201801-02;2018-01-16 11:40:34
19123;201801-01;2018-01-11 09:18:51
19123;201801-02;2018-01-16 11:40:35
19130;201801-01;2018-01-12 10:22:25
19137;201801-01;2018-01-11 11:23:59
19140;201801-02;2018-01-26 15:16:20
19141;201801-01;2018-01-12 14:43:37
19148;201801-01;2018-01-12 10:21:31
19148;201801-02;2018-01-16 11:30:00
19148;201802-01;2018-01-30 09:47:58
19148;201802-02;2018-02-19 16:27:33
19148;201803-01;2018-03-07 16:59:10
19148;201803-02;2018-03-20 10:45:43
19155;201804-01;2018-03-21 10:23:47
19155;201804-02;2018-04-16 10:43:15
19159;201805-02;2018-05-11 14:47:57
19164;201802-01;2018-01-29 10:39:32
19164;201802-02;2018-02-19 13:36:20
19164;201803-03;2018-03-07 10:54:33
19164;201803-01;2018-03-07 10:58:50
19164;201803-02;2018-03-16 16:59:37
19164;201804-01;2018-04-02 10:09:14
19164;201804-02;2018-04-16 10:40:43
19164;201805-01;2018-05-02 09:37:08
19168;201804-02;2018-02-19 16:50:35
19168;201803-02;2018-03-15 09:13:37
19168;201804-01;2018-04-03 13:39:15
19168;201804-02;2018-04-16 16:18:34
19168;;2018-05-02 09:43:27
19170;201802-01;2018-01-26 11:28:20
19170;201802-02;2018-02-19 16:33:09
19174;201801-02;2018-01-16 09:02:19
19174;201802-01;2018-01-30 09:49:11
19174;201802-02;2018-02-19 16:31:22
19174;201803-01;2018-03-07 16:59:11
19174;201803-02;2018-03-20 16:50:48
19174;201804-01;2018-04-03 09:12:01
19174;201804-02;2018-04-16 16:04:01
19184;201801-02;2018-01-16 11:21:06
19186;201801-02;2018-01-16 15:43:25
19193;201801-02;2018-01-16 16:49:34
19198;201801-02;2018-01-17 10:12:59
19200;201802-01;2018-01-29 08:53:01
19200;201802-02;2018-02-19 16:28:22
19200;201803-01;2018-03-07 16:59:13
19200;201803-02;2018-03-20 16:50:49
19200;201804-01;2018-04-03 13:39:17
19200;201804-02;2018-04-16 16:18:36
19200;201805-01;2018-04-30 16:20:13
19202;201801-02;2018-01-22 14:49:06
19208;201804-01;2018-02-20 13:50:12
19208;201804-02;2018-04-16 16:18:37
19208;;2018-05-02 09:43:28
19210;201802-01;2018-01-29 14:56:33
19210;201802-02;2018-02-19 16:27:34
19210;201803-01;2018-03-07 16:59:14
19214;201801-02;2018-01-18 10:05:24
19214;201802-01;2018-01-29 15:53:06
19214;201802-02;2018-02-19 14:15:21
19214;201803-01;2018-03-07 16:59:16
19215;201801-02;2018-01-19 11:22:34
19217;201801-02;2018-01-18 15:56:20
19218;201802-01;2018-01-18 10:06:22
19218;201802-02;2018-01-29 11:11:19
19218;201803-01;2018-02-19 14:57:55
19218;;2018-02-20 11:30:09
19225;201802-02;2018-01-30 13:44:37
19225;201803-01;2018-02-19 14:57:56
19225;201803-02;2018-03-07 11:36:14
19225;201804-01;2018-04-03 13:39:18
19225;201804-02;2018-04-16 16:18:38
19225;;2018-05-02 09:43:29
19226;201801-02;2018-01-22 08:55:16
19227;201801-01;2018-01-24 14:38:59
19227;201801-02;2018-01-24 14:57:12
19227;201802-01;2018-01-30 09:52:42
19227;201802-02;2018-02-19 16:33:11
19228;201801-02;2018-01-24 10:38:24
19228;201802-01;2018-01-30 09:49:13
19233;201801-02;2018-01-19 11:20:42
19236;201802-02;2018-01-30 09:36:43
19236;201803-01;2018-03-07 12:02:43
19236;201803-02;2018-03-20 17:03:57
19236;201804-01;2018-04-02 11:33:08
19238;201802-02;2018-01-29 11:12:30
19238;201803-01;2018-02-19 14:57:57
19238;201803-02;2018-03-07 11:28:35
19238;201804-01;2018-04-03 13:39:20
19238;201804-02;2018-04-16 16:18:40
19238;;2018-05-02 09:43:31
19242;201802-01;2018-01-26 12:09:01
19242;201802-02;2018-02-19 16:36:29
19242;201803-01;2018-03-07 12:02:44
19242;201803-02;2018-03-20 17:03:59
19242;201804-01;2018-04-02 11:33:09
19242;201804-02;2018-04-16 11:40:47
19242;201805-01;2018-05-02 10:18:03
19248;201802-02;2018-01-29 13:23:46
19250;201801-02;2018-01-22 09:17:14
19251;201802-01;2018-01-22 13:50:02
19254;201801-02;2018-01-23 17:43:23
19259;201803-02;2018-03-21 10:22:38
19259;201804-01;2018-04-02 11:33:10
19259;;2018-04-04 09:07:46
19260;201803-02;2018-03-16 15:33:11
19260;201804-01;2018-04-03 09:12:02
19260;201804-02;2018-04-16 14:07:52
19260;201805-01;2018-05-02 10:10:10
19263;201801-02;2018-01-22 14:49:01
19265;201801-02;2018-01-25 10:17:26
19265;201802-01;2018-01-30 09:49:15
19265;201802-02;2018-02-19 16:31:25
19267;201801-02;2018-01-23 09:03:50
19267;201802-01;2018-01-30 10:11:07
19269;201801-02;2018-01-25 11:15:49
19270;201803-02;2018-03-16 15:34:06
19270;201804-01;2018-04-03 09:12:04
19270;201804-02;2018-04-16 14:07:58
19270;201805-01;2018-05-02 10:10:11
19275;201801-02;2018-01-24 13:39:30
19275;201802-01;2018-01-25 09:11:26
19275;201802-02;2018-02-06 10:27:34
19278;201802-01;2018-01-29 15:09:52
19278;201802-02;2018-02-19 16:25:36
19278;201803-01;2018-03-07 16:59:17
19278;201803-02;2018-03-20 16:49:46
19278;201804-01;2018-04-03 13:39:21
19281;201802-01;2018-01-29 15:09:31
19281;201802-02;2018-02-19 16:25:37
19281;201803-01;2018-03-07 16:59:18
19282;201802-01;2018-01-26 17:06:31
19284;201802-01;2018-01-29 10:47:57
19284;201802-02;2018-02-19 13:36:21
19284;201803-03;2018-03-07 10:54:34
19284;201803-01;2018-03-07 10:58:51
19284;201803-02;2018-03-19 11:06:02
19284;201804-01;2018-04-02 10:09:16
19284;201804-02;2018-04-16 10:40:45
19284;201805-01;2018-05-02 09:37:09
19286;201802-01;2018-01-23 15:02:18
19286;201802-02;2018-02-19 16:30:16
19287;201801-02;2018-01-29 09:25:48
19288;201802-02;2018-02-19 11:12:05
19288;201803-01;2018-03-05 14:32:06
19288;201803-02;2018-03-20 16:48:25
19288;201804-01;2018-04-02 09:58:08
19288;201804-02;2018-04-16 16:18:41
19288;201805-01;2018-05-02 09:52:43
19291;201804-01;2018-04-03 08:41:53
19291;201804-02;2018-04-03 08:50:39
19291;201804-01;2018-04-03 09:08:07
19291;201804-02;2018-04-16 10:43:16
19291;201805-01;2018-05-02 10:18:05
19298;201802-01;2018-01-30 10:10:15
19298;201802-02;2018-02-19 16:36:12
19298;201803-01;2018-03-07 11:46:06
19298;201803-02;2018-03-20 17:03:53
19298;201804-01;2018-04-02 11:32:59
19298;201804-02;2018-04-16 11:40:29
19298;201805-01;2018-05-02 10:17:38
19300;201801-02;2018-01-26 10:25:31
19300;201802-01;2018-01-30 10:11:08
19300;201802-02;2018-02-19 16:37:48
19300;201803-01;2018-03-07 11:46:20
19300;201803-02;2018-03-20 17:03:08
19300;201804-01;2018-04-02 11:31:50
19300;201804-02;2018-04-16 11:40:48
19300;201805-01;2018-05-02 10:18:08
19303;201802-02;2018-01-25 14:38:21
19303;201803-01;2018-03-07 16:59:19
19303;;2018-03-19 15:43:08
19304;201803-01;2018-03-07 15:19:29
19304;201803-02;2018-03-20 16:45:28
19304;201804-01;2018-04-03 13:39:22
19304;201804-02;2018-04-16 16:18:42
19304;201805-01;2018-05-02 09:52:44
19308;201802-02;2018-02-16 11:10:55
19312;201802-01;2018-01-26 16:19:24
19315;201802-01;2018-01-26 15:19:07
19315;201802-02;2018-02-19 16:36:31
19315;201803-01;2018-03-07 11:46:21
19315;201803-02;2018-03-20 11:32:03
19315;201804-01;2018-04-02 11:31:51
19315;201804-02;2018-04-16 10:43:19
19319;201802-02;2018-02-19 16:36:32
19319;201803-01;2018-03-07 12:02:45
19319;201803-02;2018-03-20 17:04:00
19319;201804-01;2018-04-02 11:33:11
19319;201804-02;2018-04-16 11:40:49
19319;201805-01;2018-05-02 10:18:10
19320;201802-01;2018-01-29 10:40:18
19320;201802-02;2018-02-19 13:36:22
19320;201803-03;2018-03-07 10:54:35
19320;201803-01;2018-03-07 10:58:52
19322;201802-01;2018-01-26 16:21:33
19325;201802-02;2018-02-19 16:30:05
19325;201803-01;2018-03-07 16:58:29
19327;201805-01;2018-04-24 12:20:39
19328;201802-02;2018-02-05 16:33:49
19328;201803-01;2018-03-07 11:46:23
19328;201803-02;2018-03-20 11:32:04
19328;201804-01;2018-04-02 11:31:52
19328;;2018-04-13 10:16:58
19328;201804-02;2018-04-16 10:56:17
19328;201805-01;2018-05-02 10:18:11
19330;201801-02;2018-01-26 16:25:05
19331;201802-01;2018-01-29 10:44:21
19333;201802-01;2018-01-29 08:40:23
19337;201802-02;2018-02-19 16:25:38
19337;201803-01;2018-03-07 16:59:20
19337;201803-02;2018-03-20 16:49:47
19337;201804-01;2018-04-02 13:13:55
19338;201802-02;2018-02-19 14:18:08
19338;201803-01;2018-03-07 16:58:24
19338;201803-02;2018-03-20 16:49:40
19339;201802-02;2018-02-19 16:25:28
19339;201803-01;2018-03-07 16:58:19
19339;201803-02;2018-03-20 16:48:20
19339;201804-01;2018-04-03 13:38:35
19339;201804-02;2018-04-16 16:18:00
19339;201805-01;2018-05-02 09:52:22
19340;201802-02;2018-02-19 16:25:35
19340;201803-01;2018-03-07 16:58:21
19340;201803-02;2018-03-20 16:49:39
19344;201802-01;2018-01-29 16:58:50
19348;201802-01;2018-01-29 14:42:05
19348;201802-02;2018-02-19 16:30:18
19348;201803-01;2018-03-07 16:59:21
19348;201803-02;2018-03-20 16:49:48
19348;201804-01;2018-04-03 13:39:24
19348;201804-02;2018-04-16 16:18:43
19348;201805-01;2018-05-02 09:52:45
19350;201802-01;2018-01-29 12:34:24
19350;201802-02;2018-02-19 16:25:38
19350;201803-01;2018-03-07 16:59:22
19351;201802-01;2018-02-02 10:01:13
19352;201803-02;2018-03-16 16:29:24
19356;201802-02;2018-02-01 10:09:00
19356;201803-02;2018-02-28 10:36:27
19356;201804-01;2018-04-03 13:39:26
19356;201804-02;2018-04-16 16:18:45
19356;201805-01;2018-04-30 16:20:14
19357;201802-02;2018-01-29 16:47:02
19357;201803-01;2018-03-07 16:59:24
19357;;2018-03-19 15:43:09
19359;201802-02;2018-01-30 08:06:37
19359;201803-02;2018-02-16 14:32:20
19359;201804-01;2018-04-02 10:09:17
19359;201804-02;2018-04-16 10:40:46
19359;201805-01;2018-04-30 10:39:56
19361;201802-02;2018-01-30 10:57:17
19364;201802-01;2018-01-30 10:17:03
19364;201802-02;2018-02-19 16:34:49
19364;201803-01;2018-03-08 08:55:37
19364;201803-02;2018-03-20 17:01:31
19364;201804-01;2018-04-03 09:12:05
19364;;2018-04-16 14:33:34
19378;201802-01;2018-02-19 09:32:11
19380;201801-02;2018-02-01 08:42:55
19386;201802-01;2018-02-01 11:14:14
19387;201802-02;2018-02-01 11:19:30
19387;201803-01;2018-03-07 16:59:25
19387;201803-02;2018-03-20 16:51:22
19387;;2018-04-02 14:06:06
19401;201802-02;2018-02-02 09:57:49
19401;201803-01;2018-03-07 16:59:26
19402;201802-02;2018-02-19 16:30:19
19402;201803-01;2018-03-07 16:59:28
19402;201803-02;2018-03-20 16:48:26
19402;201804-01;2018-04-03 13:39:27
19402;201804-02;2018-04-16 16:18:46
19402;201805-01;2018-05-02 09:52:46
19407;201802-01;2018-02-02 16:09:15
19409;201802-01;2018-02-02 16:45:26
19409;201802-02;2018-02-19 14:14:24
19409;201803-01;2018-02-19 15:05:21
19409;201803-02;2018-03-07 11:28:36
19409;201804-01;2018-03-16 09:04:17
19409;;2018-04-03 14:06:09
19410;201802-02;2018-02-05 09:14:20
19410;201803-02;2018-03-02 16:38:14
19410;201804-01;2018-03-19 13:24:48
19410;201805-01;2018-04-12 12:32:26
19416;201802-01;2018-02-05 15:10:08
19416;201802-02;2018-02-19 14:13:01
