rm;tipo_rm;data_transicao
17218;Evolutiva;2018-01-02 00:00:00
17237;Evoluções e Novos Projetos;2018-03-19 10:46:28
17248;Corretiva;2018-01-02 00:00:00
17270;Evoluções e Novos Projetos;2018-01-02 00:00:00
17304;Evolutiva;2018-01-02 00:00:00
17332;Corretiva;2018-01-02 00:00:00
17359;Evoluções e Novos Projetos;2018-01-02 00:00:00
17404;Evolutiva;2018-01-02 00:00:00
17439;Corretiva;2018-01-02 00:00:00
17524;Evolutiva;2018-01-02 00:00:00
17630;Evolutiva;2018-01-02 00:00:00
17674;Atendimento;2018-05-02 15:52:58
17683;Corretiva;2018-01-02 00:00:00
17692;Corretiva;2018-02-16 10:35:47
17702;Evoluções e Novos Projetos;2018-01-02 00:00:00
17728;Evoluções e Novos Projetos;2018-01-02 00:00:00
17763;Corretiva;2018-01-02 00:00:00
17788;Evoluções e Novos Projetos;2018-02-20 13:57:33
17790;Evoluções e Novos Projetos;2018-02-20 11:31:57
17812;Evoluções e Novos Projetos;2018-01-02 00:00:00
17824;Evoluções e Novos Projetos;2018-01-02 00:00:00
17851;Evolutiva;2018-02-22 14:20:54
17891;Evolutiva;2018-02-07 14:50:51
17894;Evoluções e Novos Projetos;2018-02-19 16:57:34
17906;Evoluções e Novos Projetos;2018-01-02 00:00:00
17910;Evolutiva;2018-02-06 14:03:48
17910;Corretiva;2018-03-05 15:56:12
17913;Evoluções e Novos Projetos;2018-01-02 00:00:00
17918;Evoluções e Novos Projetos;2018-01-02 00:00:00
17934;Evolutiva;2018-01-02 00:00:00
17953;Evoluções e Novos Projetos;2018-01-02 00:00:00
17962;Evolutiva;2018-01-26 17:11:19
17964;Evolutiva;2018-02-07 15:02:03
17969;Evoluções e Novos Projetos;2018-02-20 09:37:36
17984;Corretiva;2018-01-17 10:18:15
17985;Correções;2018-01-02 00:00:00
17998;Desenvolvimento;2018-03-08 16:05:58
18026;Evolutiva;2018-02-22 14:48:18
18027;Evoluções e Novos Projetos;2018-01-04 15:49:35
18096;Evoluções e Novos Projetos;2018-02-20 13:56:02
18101;Desenvolvimento;2018-01-02 00:00:00
18109;Evolutiva;2018-01-02 00:00:00
18123;Evolutiva;2018-01-30 14:31:16
18124;Corretiva;2018-01-22 14:10:38
18152;Corretiva;2018-02-06 15:40:18
18152;Atendimento;2018-02-19 10:44:41
18155;Corretiva;2018-01-02 00:00:00
18158;Evolutiva;2018-02-22 14:45:10
18160;Corretiva;2018-03-08 09:38:07
18201;Correções;2018-01-02 00:00:00
18269;Evoluções e Novos Projetos;2018-01-02 14:36:55
18285;Evolutiva;2018-01-02 00:00:00
18288;Evolutiva;2018-01-02 00:00:00
18291;Desenvolvimento;2018-01-10 10:21:48
18292;Atendimento;2018-01-02 00:00:00
